ID,Street name,City,Lat/Lon,Furniture,Buses
603,Líma-Ciutat d' Asunción,BARCELONA,41.4392419 / 2.2008571,Pal,11 42 73 N8 
604,Pi i Margall-Pl Joanic,BARCELONA,41.4064193 / 2.1633763,Pal,55 
605,Pg de la Vall d'Hebron-Av de Vallcarca,BARCELONA,41.4193839 / 2.1398545,Marquesina,17 60 73 N4 
607,Pg de la Vall d'Hebron-Velòdrom,BARCELONA,41.4372556 / 2.1497976,Marquesina,27 60 73 76 B16 B19 N4 
610,Santaló-Plató,BARCELONA,41.3998330 / 2.1407503,Pal,58 64 N8 
611,Pl d'Adrià,BARCELONA,41.4012021 / 2.1389486,Pal,58 64 N8 
612,Muntaner-Pl Bonanova,BARCELONA,41.4058490 / 2.1341828,Pal,58 64 N8 
613,Muntaner - Arimón,BARCELONA,41.4037369 / 2.1368383,Pal,58 64 N8 
614,Pg de la Vall d'Hebron-Av Can Marcet,BARCELONA,41.4356660 / 2.1483783,Pal,27 60 73 76 B16 B19 N4 
615,Campoamor-Av Estatut de Catalunya,BARCELONA,41.4352216 / 2.1543743,Marquesina,45 102 N4 
616,Campoamor-Rectoria,BARCELONA,41.4329463 / 2.1581264,Marquesina,45 102 185 N4 
618,Cantàbria-Pl del Ram de l'Aigua,BARCELONA,41.4200521 / 2.2011946,Pal,26 40 
619,Cantàbria-Menorca,BARCELONA,41.4210769 / 2.1994046,Pal,26 40 
621,Bac de Roda-Rambla de Guipúscoa,BARCELONA,41.4150327 / 2.1942453,Pal,71 
622,Via Augusta-Salvador Mundi,BARCELONA,41.3996367 / 2.1237387,Pal,30 66 68 N7 
624,Palamós-Sa Tuna,BARCELONA,41.4514921 / 2.1876259,Pal,50 51 127 80 81 
626,Av Mare de Déu de Montserrat-La Bisbal,BARCELONA,41.4180817 / 2.1717408,Pal,31 32 39 55 74 N6 
627,Londres-Calàbria,BARCELONA,41.3885052 / 2.1441096,Marquesina,54 66 N3 
628,Berlín-Josep Tarradellas,BARCELONA,41.3850937 / 2.1420664,Marquesina,54 66 N3 
629,Numància-Berlín,BARCELONA,41.3828007 / 2.1394853,Marquesina,30 43 78 N0 
630,Av de Sarrià-Josep Tarradellas,BARCELONA,41.3904451 / 2.1448412,Pal,59 N12 
633,Pg de Sant Joan-Indústria,BARCELONA,41.4027936 / 2.1647931,Pal,15 20 45 47 N4 N6 
634,Lepant-Indústria,BARCELONA,41.4082469 / 2.1716029,Marquesina,10 19 N0 N1 
635,Dos de Maig-St Antoni M Claret,BARCELONA,41.4116116 / 2.1760118,Pal,35 50 51 117 
641,Gran de Sant Andreu-Pg de Fabra i Puig,BARCELONA,41.4293306 / 2.1900439,Marquesina,35 40 126 B20 N9 
646,Av. Tibidabo (Teodor Roviralta-Adrià Margarit),BARCELONA,41.3879170 / 2.1699187,Pal,", "
649,Pg Maragall-Mossèn Josep Bundó,BARCELONA,41.4273920 / 2.1681680,Marquesina,19 45 N4 
650,Pl Catalana-Mascaró,BARCELONA,41.4218887 / 2.1731844,Pal,55 
651,Pg de Fabra i Puig-Teide,BARCELONA,41.4303418 / 2.1703452,Pal,71 
652,Pg Maragall-Amílcar,BARCELONA,41.4265118 / 2.1722315,Marquesina,19 45 N4 
654,Av Miramar-Fundació Joan Miró,BARCELONA,41.3678116 / 2.1598079,Pal,50 55 61 193 
655,Av Miramar-Estació del Funicular,BARCELONA,41.3689179 / 2.1629764,Pal,50 55 61 193 
656,Av Miramar-Escoles del Bosc,BARCELONA,41.3689795 / 2.1619779,Pal,50 55 61 193 
657,Fundació Joan Miró-Pl Neptú,BARCELONA,41.3679032 / 2.1596650,Pal,50 55 61 193 
661,Aragó-Independència,BARCELONA,41.4072653 / 2.1848711,Marquesina,62 B24 N3 
662,Marina-Pl dels Voluntaris,BARCELONA,41.3883826 / 2.1956433,Marquesina,10 71 92 N0 
667,Via Laietana-Correus,BARCELONA,41.3824912 / 2.1806436,Pal,17 19 40 45 120 N8 
681,Av Jordà-Idumea,BARCELONA,41.4266883 / 2.1389529,Pal,19 76 
