ID,Name,Line,Lat/Lon,Operator,Type,Zone
36,Sils,R11,41.8075197960537 / 2.74505560693576,RENFE,REGIONALS,
35,Caldes de Malavella,R11,41.8412092561927 / 2.80060057807735,RENFE,REGIONALS,
34,Riudellots de la Selva,R11,41.896532156665 / 2.81179634867969,RENFE,REGIONALS,
33,Fornells de la Selva,R11,41.935054785626 / 2.80957377738646,RENFE,REGIONALS,
32,Girona,R11,41.9777243441383 / 2.81605547922767,RENFE,REGIONALS,
31,Celrà,R11,42.0273651094301 / 2.87492011813846,RENFE,REGIONALS,
30,Bordils-Juià,R11,42.0369923534203 / 2.91525028650732,RENFE,REGIONALS,
27,Flaçà,R11,42.0475456422822 / 2.95720482319769,RENFE,REGIONALS,
29,St.Jordi Desvalls,R11,42.0682390238144 / 2.9647668541428,RENFE,REGIONALS,
28,Camallera,R11,42.1222322077132 / 2.96560098760236,RENFE,REGIONALS,
25,Vilamalla,R11,42.2163088501734 / 2.97805544738783,RENFE,REGIONALS,
26,St.Miquel de Fluvià,R11,42.1721551557459 / 2.98935674331045,RENFE,REGIONALS,
243,Figueres(Vilafant),TGV,42.2635105248759 / 2.94308758182447,RENFE,TGV,No integrat
24,Figueres,R11,42.265072570479 / 2.96896668149236,RENFE,REGIONALS,
23,Vilajuïga,R11,42.3251547484918 / 3.08625764927703,RENFE,REGIONALS,
22,Llançà,R11,42.3667239637597 / 3.1488152978134,RENFE,REGIONALS,
21,Colera,R11,42.4068780790864 / 3.15443530088654,RENFE,REGIONALS,
